Name,Real Name,Current Alias,Aliases,Identity,Alignment,Affiliation,Relatives,Gender,Height,Weight,Eyes,Hair,Marital Status,Origin,Creators,First appearance,Year
Tony Chu,Anthony Chu,Tony Chu,,Public,Good,U.S. Food and Drug Administration,"Amelia Mintz (wife),
Olive Chu (Daughter),
Mindy Tso-Chu (Deceased Ex-Wife),
Antonelle Chu (Deceased Fraternal-Twin Sister),
Chow Chu (Brother),
Sage Chu (Younger Sister),
Saffron Chu (Sister),
Harold Chu (Younger Brother),
Ong Chu (Grandfather),
Bao Chu (Mother),
Bok Chu (Father-Deceased),
Tang Shen (Brother-In-Law),
Rosemary Chu-Shen (Older Sister),
Chip Chu-Shen (Nephew),
Bree Chu-Shen (Niece),

Charlie Chu (Distant Cousin)",Male,,,Brown,Brown,Married,,"John Layman,  Rob Guillory","Chew  #1(June, 2009)",2009
Overlord,Unknown,Overlord,,,Bad,Vicious Circle,,Male,6’2”,Weight: 180 lbs. With armor 320 lbs,Blue,Grey,,,Erik Larsen,"Savage Dragon (Mini-series)  #1(July, 1992)",1992
Tony Twist,Antonio Carlo Twistelli,Tony Twist,"Vito Gravano, Don Dracula",,Bad,The New York Mafia,Bernardo Twistelli (brother),Male,,,Brown,Black,,,Todd McFarlane,"Spawn  #6(November, 1992)",1992
Antonio Twistelli,Antonio Twistelli,,,Secret,Bad,,,Male,,,,Black,,,"Todd McFarlane,  Alan B. McElroy",Todd McFarlane's Spawn Season 1 1,
Aphrodite IV,Aphrodite IV,,,Secret,,Cyberdata,None,Female Android,,,Green,Green,None,Created by Cyberdata to be the perfect soldier,Ron Marz,Cyberforce (Volume 3) #6,
Aphrodite IX,Unknown,Aphrodite IX,,,Good,,,Female,,,,Green,,,"David Finch,  David Wohl",Aphrodite IX  #1,
Archon Matthew Royale,Archon Matthew Royale,,,,Bad,,,Male,,,Brown,Brown,Single,,"Garth Ennis,  Brandon Peterson","Medieval Spawn/Witchblade  #1(May, 1996)",1996
Barbaric,Barney Runningbear,Barbaric,,Public,Good,"Freak Force, Special Operations Strikeforce","Rikki Shaefer (wife), Sharona Runningbear (daughter, deceased),  John Runningbear (father, deceased), Martha Runningbear (mother, deceased),   Dusty, Betty, and Tracy Root (foster family)",Male,"8' 1""",875  lbs (398 kg),Orange,Blonde,Married,Mutate with the ability to rebound from surfaces.,Erik Larsen,"Savage Dragon  #1(June, 1993)",1993
Daredevil,Bart Hill,Daredevil,,,Good,Special Operations Strikeforce,,Male,"6' 0""",123  lbs (56 kg),,,,,"Jack Cole,  Jack Binder","Savage Dragon  #141(November, 2008)",2008
Troll,Bartholomew J. Troll,Troll,,Public,Good,"Youngblood, Order of the Knight, Bloodstrike; formerly Brigade",,Male,"3' 4""",130  lbs (59 kg),Blue,White,Single,Kobold,Rob Liefeld,Image Zero  #0(1993),1993
Becky,Becky,,,,,,"Mason (husband), Kaitlyn (daughter)",Female,,,Blue,Blonde,Married,,"Ed Brisson,  Adam Gorham","The Violent  #1(December, 2015)",2015
Billy,Billy,,,Secret,Good,,,Male,,,Blue,Blond,Single,,"Rick Remender,  Wes Craig","Deadly Class  #4(April, 2014)",2014
Billy,Billy,,The Will,,,,"Sophie (sister, deceased)",Male,,,Blue,Bald,,,"Brian K Vaughan,  Fiona Staples","Saga  #1(March, 2012)",2012
Billy,Billy,,,,Good,,"Allen (father, deceased)  Donna (mother, deceased)  Ben (twin brother, deceased)  Dale (adoptive father, deceased)  Andrea (adoptive mother, deceased)",Male,,,,Blond,Single,,"Robert Kirkman,  Tony Moore","The Walking Dead  #2(November, 2003)",2003
Billy Kincaid,Billy Kincaid,,,Secret,Bad,,,Male,,,Blue,Red,,,"Todd McFarlane,  Alan B. McElroy",Todd McFarlane's Spawn Season 1 2,
Bobby,Bobby,,,Secret,Good,,,Male,,,Brown,Black,,,"Todd McFarlane,  Alan B. McElroy",Todd McFarlane's Spawn Season 1 1,
Impact,Boomer O'Shea,Impact,,,Good,Cyberforce,,Male,,,,,Single,Mutant,Marc Silvestri,"Cyberforce  #1(October, 1992)",1992
Boss Yamamoto,Boss Yamamoto,,,,,Yakuza,,Male,,,,,,,,Ripclaw: Pilot Season #1,
Killjoy,Brenda Lews,Killjoy,,Secret,Bad,"Cyberdata, S.H.O.C.s",,Female,"5' 11""",120  lbs (55 kg),Brown,Black,Divorced,Mutant Cyborg,Marc Silvestri,"Cyberforce  #1(October, 1992)",1992
The Governor,Brian Blake,The Governor,Philip Blake; The Governor,,Bad,Woodbury,"Penny Blake (daughter, deceased)",Male,,,Black,Black,Widowed,,"Robert Kirkman,  Charlie Adlard,  Cliff Rathburn","The Walking Dead  #27(April, 2006)",2006
Supervision,Bridget Flynn,Supervision,Scrap,Secret,Good,Dynamo 5,"Captain Dynamo (father), Hector Chang, Spencer Bridges, Gage Reinhart (half brothers), Olivia “Livvie” Lews, Cynthia (half sisters)",Female,,,,Brown,Single,Exposed to unidentified radiation,"Jay Faerber,  Mahmud A. Asrar",Dynamo 5 #1,
Chapel,Bruce Stinson,Chapel,Lord Chapel,Secret,Neutral,"formerly Bloodstrike, Operation: Knightstrike, Youngblood",Chapel II (son),Male,"6' 4""",225  lbs (102 kg),Brown,Black,Single,Chemically enhanced human,Rob Liefeld,"Youngblood  #1(April, 1992)",1992
Sophie,Sophie,,The Brand,,,Robot Kingdom,The Will (brother),Female,,,Brown,Brown,,,"Brian K Vaughan,  Fiona Staples","Saga  #17(December, 2013)",2013
Bloodstrike,Cabbot Stone,Bloodstrike,The Slingstone,,Good,"Bloodstrike, formerly Young Americans, Operation: Knightstrike","Michael Stone (father), John Stone (brother), Marc Barros (Seahawk, nephew), Alexander Barros (Coldsnap, nephew), Kaitlin McManus (half-sister, deceased)",Male,"6' 3""",255  lbs (116 kg),,Grey,Single,"Nu-Gene Mutant, further mutated by Project: Born Again",Rob Liefeld,"Bloodstrike  #1(April, 1993)",1993
Fairchild,Caitlin Fairchild,Fairchild,Kat,Public,Good,"Gen¹³, International Operations","Alexander Fairchild (father, deceased);Roxanne Spaulding (half-sister);Karen Fairchild (cousin)",Female,"6' 4""",300  lbs (136 kg),Green,Red,Single,Born Gen-Active due to her father's altered genetics,"Jim Lee,  Brandon Choi,  J. Scott Campbell","Deathmate  #Black(September, 1993)",1993
Velocity,Carin Taylor,Velocity,,Secret,Good,Cyberforce,Francesca Taylor (mother);Frank Taylor (father/deceased);Cassandra Taylor (sister),Female,"5' 7""",120  lbs (55 kg),Green,Red,Dating,Mutant Cyborg,Marc Silvestri,"Cyberforce  #1(October, 1992)",1992
Carl Grimes,Carl Grimes,,,,Good,Grimes Family,"Rick Grimes (father, deceased)  Lori (mother, deceased)  Judith (sister, deceased)  Jeffrey (uncle, deceased)  Andrea (adoptive mother, deceased)  Sophia (wife)  Andrea Grimes (daughter)",Male,,,Brown,Black,Married,,"Robert Kirkman,  Tony Moore","The Walking Dead  #2(November, 2003)",2003
Providence,Cassandra Newland,Providence,,,,The CabalDaemonites,,Female,,,,,Single,,"Brandon Choi,  Jim Lee",WildC.A.T.s #1 (August 1992),1992
Celestine Wright,Celestine Wright,,,Public,Bad,,,Female,,,,,,,Troy Hickman,"Switch  #1(October, 2015)",2015
Clay,Clay,,,Secret,,Extrajudicial Operations Network,,Male,,,Brown,Black,Single,,"Antony Johnston,  Shari Chankhamma","Codename Baboushka: The Conclave of Death  #1(October, 2015)",2015
Clay,Clay,,,,Good,,,Male,,,,Brown,Single,,"Dan Watters,  Caspar Wijngaard","Limbo  #1(November, 2015)",2015
Cogliostro,Cogliostro,,,Secret,Good,Hell,,Male,,,,Grey,,,"Todd McFarlane,  Alan B. McElroy",Todd McFarlane's Spawn Season 1 1,
Grifter,Cole Cash,Grifter,Deadeye,Secret,Good,"WildC.A.T.s; formerly Team 7, I.O.","Sylvia Del Gracci (mother, deceased), Win Cash (father), Sam Del Gracci (stepfather), Max Cash (brother, deceased), Tazy Del Gracci (stepsister), Peter Del Gracci (stepbrother, deceased), Frank Cash (great-grandfather, deceased)",Male,"6' 3""",195  lbs (89 kg),Blue,Blond,Single,Exposure to Gen-Factor,"Jim Lee,  Brandon Choi","WildC.A.T.s: Covert Action Teams  #1(August, 1992)",1992
Conquest,Unrevealed,Conquest,,Secret,Bad,Four Horsemen of the Apocalypse,"Ezra Orion (foster son, deceased)",Male,,,,Black,Single,,"Jonathan Hickman,  Nick Dragotta","East of West  #1(March, 2013)",2013
Misery,Cyan Fitzgerald,Misery,Zealot,Public,Good,,"Albert Simmons(step father/uncle);Wanda Blake (mother);Terry Fitzgerald (father);Granny Blake (great-grandmother);Morana (half-sister,retconed);Unborn half brother;Marc Simmons (uncle)",Female,,,Brown,Brown,Single,,Todd McFarlane,"Spawn  #3(August, 1992)",1992
Cyan Fitzgerald,Cyan Fitzgerald,,,Secret,Good,,"Wanda Blake (mother),Terry Fitzgerald (father)",Female,,,Brown,Black,,,"Todd McFarlane,  Alan B. McElroy",Todd McFarlane's Spawn Season 1 1,
Kaboomerang,Daniel,Kaboomerang,,,Good,Guardians of the Globe,,Male,,,,,,,"Robert Kirkman,  Benito Cereno,  Ransom Getty","Guarding the Globe  #2(October 20, 2010)",2010
Spawn,Daniel Llanso,Spawn,,,Good,,,Male,,,,,,,"Alan McElroy,  Dwayne Turner","Curse of the Spawn  #1(September, 1996)",1996
Witchblade,Danielle Anastacia Baptiste,Witchblade,Dani,Secret,,Angelus Sect,,Female,"5' 7""",,Green,Blonde,Single,,"Ron Marz,  Adriana Melo",Witchblade  #100,
Kid Supreme,Danny Fuller,Kid Supreme,,,,Supreme,,Male,,,,,,,Rob Liefeld,Supreme (Volume 2) #19,
DarkLord,Damien Farrell,DarkLord,,,Neutral,,"Liberty Farrell (mother), Justice Farrell (uncle), John Quincy Armstrong (grandfather), one of several Martian rapists (father, deceased), Damien DarkLord and DarkLord (versions of himself from other universes)",Male,"6' """,,White,No Hair,,,Erik Larsen,"Savage Dragon  #167(December, 2010)",2010
Dart,Allison Summers,Dart,,Public,Bad,Vicious Circle,"Dart I (maternal aunt, deceased), Sgt. Marvel (maternal grandfather), Jane August (mother), Barry Dragon (lover, deceased),  Billy Dragon (son)",Female,,,Blue,Blonde,Single,,Erik Larsen,Savage Dragon Vol ???,
Dinosaurus,David Anders,Dinosaurus,Dinosaurus,Secret,Bad,,,Male,,,Brown,Brown,,Human/Dinosaur,"Robert Kirkman,  Ryan Ottley","Invincible  #68(November, 2009)",2009
Psi-Fire,David Waller,Psi-Fire,,Secret,Bad,formerly Youngblood,"Anne Waller (mother, deceased), Thomas Waller (father, deceased)",Male,"6' 0""",168  lbs (76 kg),,Brown,Single,Nu-Gene Mutant,Rob Liefeld,"Youngblood  #1(April, 1992)",1992
Bailout,Debbie Thatcher,Bailout,,Secret,Good,The Experts; formerly Bloodstrike,,Female,,,Green,Blonde,Single,,"Karl Altstaetter,  Robert Napton","Bloodstrike  #11(July, 1994)",1994
Masada,Deborah Konigsberg,Masada,,Secret,Good,Youngblood,,Female,"5' 11""",123  lbs (56 kg),,Black,Single,Empowered by souls of Jewish martyrs,Rob Liefeld,"Team Youngblood  #1(September, 1993)",1993
Wylder,Del Sanders,Wylder,,,Good,Bloodpool,,Male,,,Blue,Brown,Single,,Rob Liefeld,"Bloodpool  #1(August, 1995)",1995
Powerhouse,Denny Atlas,Powerhouse,PowerHouse,,,"Formerly The Vicious Circle; Special Operations Strikeforce; the Gods, The God Squad","Ra (ancestor), unnamed parents (deceased), unnamed grandmother",Male,"6' 4""",240  lbs (109 kg),Red,No Hair,Single,God descendent,Erik Larsen,Savage Dragon #24,
Sentinel,Dolante Murray,Sentinel,,No Dual,Good,Youngblood,,Male,,,,Black,Single,,"Chad Bowers,  Jim Towe","Youngblood Vol 5  #1(May, 2017)",2017
Donnie,Donnie,,,,,,,Male,,,,Brown,,,"Robert Kirkman,  Paul Azaceta","Outcast  #2(July, 2014)",2014
Doreen,Doreen Robinson,Doreen,Doreen,Secret,Bad,Warguard,,Female,,,Blue,Black,,,,"StormWatch  #25(May, 1994)",1994
Heatwave,Dylan Cruise,Heatwave,"Fire King[1], The Mayor",Secret,Good,"Cyberforce; formerly U.S. Navy, Cyberdata, S.H.O.C.s","Dana Cruise (daughter, deceased)",Male,"6' 4""",235  lbs (107 kg),Brown,Brown,Divorced,Mutant Cyborg,Marc Silvestri,"Cyberforce  #1(October, 1992)",1992
Comet Twins,Ed Malone,Comet Twins,,Secret,Good,"Capes, Inc",,Male,,,,,,,"Robert Kirkman,  Mark Englert","Capes  #1(September, 2003)",2003
The Heap,Eddie Beckett,The Heap,,,Bad,,,Male,,,Brown,Brown,,,"Todd McFarlane,  Greg Capullo","Spawn  #72(May, 1998)",1998
ShadowHawk,"Edward ""Eddie"" James Collins",ShadowHawk,"ShadowHawk II, Eddie Collins",Secret,Good,The Pact,,Male,"5' 7""",165  lbs (75 kg),Blue,Brown,,,"Eldon Asp,  Michael Lin Chang","New Man  #4(April, 1996)",1996
Nailbiter,Edward Charles Warren,Nailbiter,,Public,Bad,,,Male,,,Blue,Blond,,Buckaroo,"Joshua Williamson,  Mike Henderson","Nailbiter  #1(May, 2014)",2014
Unrevealed,Unrevealed,,Elephant,Neutral,Bad,,,Male,"6' 7""",610 lbs (277 kg),Brown,,,Humans,"Robert Kirkman,  Ryan Ottley","Invincible  #8(January, 2004)",2004
Elinor,Elinor,,,,Bad,Lord Cardinale,,Female,,,Yellow,Blonde,Single,,"Garth Ennis,  Brandon Peterson","Medieval Spawn/Witchblade  #1(May, 1996)",1996
Supreme,Ethan Crane,Supreme,Doctor DarkKid SupremeSupreme-MiteRolyat LadnekMean Supreme,Secret,Good,BrigadeHeavy MettleThe Allied Supermen of AmericaThe AlliesThe Supremacy,"Pre-Revision Probe (daughter)Val-En (clone/""son"")Unnamed Clone (deceased) Post-Revision Joseph Crane (adoptive father, deceased) Joanne Crane (adoptive mother, deceased) Sally Crane (adoptive sister)",Male,,,,Grey,,,Rob Liefeld,"Youngblood  #3(October, 1992)",1992
Wyldfyre,Evangeline Wilder,Wyldfyre,,Secret,Bad,,,Female,"5' 8""",120  lbs (55 kg),Green,Red,Single,Mutant,"Eric Silvestri,  Marc Silvestri","Cyberforce  #2(March, 1993)",1993
Frankie Franchetti,Francis Leopold Franchetti (Top Cow),Frankie Franchetti,"Uncle Frankie; Don Franchetti; Butcher Franchetti; Frankie ""kill the children too"" Franchetti 
'",Public,Bad,Franchetti Family,"Appolonia Franchetti (daughter); Lauren Franchetti (wife, deceased); Jackie Estacado (adopted nephew)",Male,,,,Black,,,,Darkness #1/2,
El Chupacabra,Francisco Vasquez,El Chupacabra,,,Good,Guardians of the Globe,,Male,,,,,,,"Robert Kirkman,  Benito Cereno,  Ransom Getty","Guarding the Globe  #2(October 20, 2010)",2010
Frank Blank,Unknown,Frank Blank,,,,,,Male,,,,,,,,Cyblade: Pilot Season #1,
Gabrielle,Gabrielle,,,Secret,Bad,Heaven,,Female,,,,Blonde,,,"Todd McFarlane,  Alan B. McElroy",Todd McFarlane's Spawn Season 1 4,
Hellslayer,Gabrielle Carlos,Hellslayer,,Secret,Bad,The MERCs,,Female,,,Blue,Black,Single,Earth,,"StormWatch  #1(March, 1993)",1993
Ramjet,Gage Reinhart,Ramjet,Scatterbrain,Secret,Good,Dynamo 5,"Captain Dynamo (father), Hector Chang, Spencer Bridges (half brothers), Bridget Flynn, Olivia Lews, Cynthia (half sisters)",Male,"6' 5""",230  lbs (105 kg),,,Single,Exposed to unidentified radiation,"Jay Faerber,  Mahmud A. Asrar","Dynamo 5  #1(January, 2007)",2007
Wolf-Man,Gary Hampton,Wolf-Man,Wolf-Man,Public,Good,"The Actioneers, Wolf C.O.R.P.S., Guardians of the Globe","Rebecca Hampton (wife, deceased),Chloe Hampton (daughter)",Male,,,Brown,Brown,Widowed,Gary Hampton was bitten by a werewolf while on a camping trip with his family.,"Robert Kirkman,  Jason Howard","Astounding Wolf-Man  #1(May, 2007)",2007
Glory,Gloriana Demeter,Glory,Gloria West,Secret,Good,AlliesBrigade,Lady Demeter (mother)Lord Silverfall (father)Persephone (half-sister)  Hades (brother-in-law) Nanaja (sister)  Riley (sister) Diabolique (aunt)Vandal (cousin) Probe (daughter),Female,,,Blue,White,,,Rob Liefeld,"Youngblood Strikefile  #1(April, 1993)",1993
Glorianna Silver,Glorianna Silver,,,Secret,Self Serving,,,Female,,,Green,Red,Single,,"Ron Marz,  Stjepan Sejic",Broken Trinity  #1,
God,Unknown,God,"The Lord of Heaven, Jehovah, Yahweh, Creator of Mankind, the FatherJake Fitzgerald",,Good,"Heaven, Spawn, Zera","Mother of Existence (mother), Satan (twin brother)",Female/Male,"8' 5""",1000  lbs (455 kg),blue,white,,,Todd McFarlane,"Spawn  #158(July, 2006)",2006
Grant McKay,Grant McKay,,,Public,Good,Anarchists League of Astronauts,"Christopher McKay, Sandy McKay (mother), Brian McKay (brother), Sara McKay (Wife),
Pia McKay (Daughter),

Nathan McKay (Son)",Male,,,Brown,Brown,Married,,"Rick Remender,  Matteo Scalera","Black Science  #1(November, 2013)",2013
Suture,Gretchen Culver,Suture,,,,Bad,,Female,,,Blue,Blonde,,,"Alan McElroy,  Dwayne Turner","Curse of the Spawn  #5(December, 1996)",1996
Black Anvil,Hurlbert Percival Wainright III,Black Anvil,Black AnvilAnvilPercy (to his friends),Public,Good,Stryke Force,"unnamed mother, Hurlbert Wainright (father), Merrily Wainright (sister)",Male,"4' 6""",566  lbs (257 kg),Blue,Bald,Single,Ultra-Sapien,Marc Silvestri,"Cyberforce  #4(July, 1993)",1993
Ant,Hannah Washington,Ant,,Secret,Good,,,Female,,,,,Single,,Mario Gully,Ant #1 (March 2004),2004
Smasher,Hector Chang,Smasher,Visionary,Secret,Good,Dynamo 5,"Captain Dynamo (father), Spencer Bridges, Gage Reinhart (half brothers), Bridget Flynn, Olivia Lews, Cynthia (half sisters)",Male,,,,,Single,Exposed to unidentified radiation,"Jay Faerber,  Mahmud A. Asrar","Dynamo 5  #1(January, 2007)",2007
Powerhaus,Hector Morales,Powerhaus,,Secret,Neutral,"DV8, International Operations",,Male,,,,Black,Single,,"Brandon Choi,  J. Scott Campbell",Gen¹³ #7 Vol 2  (1995),1995
Slag,Heinrich Hester,Slag,,,Bad,Troika,,Male,,,,Bald,,,"Jim Lee,  Brandon Choi","WildC.A.T.s: Covert Action Teams  #2(October, 1992)",1992
Geek,Herbert Eugene Weisenthal,Geek,,Secret,Good,Black Ops,"Fran Weisenthal (mother), Abraham Weisenthal (father)",Male,"5' 4""",127  lbs (58 kg),Blue,Black,Single,,"Shon Bury,  Dan Norton","Black Ops  #1(January, 1996)",1996
Hershel Greene,Hershel Greene,,,,,Team Rick,"Maggie Greene (Daughter)  Billy Greene (Son, deceased)  Lacey Greene (Daughter, deceased)  Arnold Greene (Son, deceased)  Susie Greene (Daughter, deceased)  Rachel Greene (Daughter, deceased)  Shawn Greene (Son, deceased)  Hershel Greene II (Grandson)  Sophia Grimes (Adoptive granddaughter)  Glenn (Son-In-Law, deceased)  Andrea Grimes (Adoptive great-granddaughter)  Carl Grimes (Adoptive grandson-in-law)  Unknown father, deceased  Unknown wife, deceased",Male,,,,Grey,Widowed,,Robert Kirkman,"The Walking Dead  #10(July, 2004)",2004
Kayo,Hiroshi Kuramoto,Kayo,,Public,Good,Brigade,,Male,"5' 6""",200  lbs (91 kg),Brown,Black,Single,Human,,"Brigade  #1(August, 1992)",1992
Rubble,Horace Benson,Rubble,,Public,Good,Bloodpool,,Male,"3' 8""",700  lbs (318 kg),Yellow,Bald,Single,Genetically engineered mutate,Rob Liefeld,"Bloodpool  #1(August, 1995)",1995
Huck,Huck,,,,Good,,,Male,,,Blue,Blond,Single,,"Mark Millar,  Rafael Albuquerque","Huck  #1(November, 2015)",2015
Hunter Blackthorne,Hunter Blackthorne,,,No Dual,Bad,,"Pierce Blackthorne (son, deceased)",Male,,,,,,,Jay Faerber,Unknown,
Ian Nottingham,Ian Nottingham,Ian Nottingham,Ian Nottingham,Public,Neutral,"Kenneth Irons, Yazuka",Unknown,Male,,,Blue,Black,Single,Human,"Michael Turner,  David Wohl","Witchblade  #1(November, 1995)",1995
Impact,Unrevealed,Impact,Number Seven,Secret,Good,,"Chelsea (wife), Lucy (daughter)",Male,,,Grey,Black,,,"Robert Kirkman,  Jason Howard","Astounding Wolf-Man  #6(May, 2008)",2008
Injection,Injection,,,Secret,Bad,,Cross Culture-Contamination Unit (creators),,,,,,,,"Warren Ellis,  Declan Shalvey","Injection  #1(May, 2015)",2015
Despot,Isaiah King,Despot,King (Team One: Stormwatch)Despot (later),Secret,,Team One:StormwatchWarguard,Mary King (wife)Jackson King (son)Malcolm King (son)Christine Trelane (daughter-in-law),Male,,,Brown,Brown,Married,,,"StormWatch  #25(May, 1994)",1994
Lord Nakadai,Isanagi Nakadai,Lord Nakadai,,,Neutral,,"Wife (deceased), Son (deceased)",Male,,,,,,,"Brian Holguin,  Angel Medina","Spawn  #114(November, 2001)",2001
Void,Jack Marlowe,Void,,,,,,Male,,,Green,Red,,,"Brandon Choi,  Jim Lee",Unknown,
Battalion,Jackson King,Battalion,Weatherman,Secret,Good,StormWatch; formerly The Monarchy,"Isaiah King (father, deceased)Mary King (mother) Malcolm King (brother)Christine Trelane (wife)",Male,"6' 3""",210  lbs (95 kg),Brown,Black,Married,Comet Seedling,"Jim Lee,  Brandon Choi","StormWatch  #1(March, 1993)",1993
Jake McCarthy,Jake McCarthy,,,,Good,New York City Police Department,,Male,,,Brown,Blond,,,"Michael Turner,  David Wohl,  Christina Z","Witchblade  #1(November, 1995)",1995
Stealth,James Carey,Stealth,,,,,,Male,,,,,,,Robert Kirkman,Pilot Season: Stealth #1,
Jim Downing,James Downing,Jim Downing,Spawn,Secret,Good,,,Male,,,Green,Blonde,,,"Todd McFarlane,  Whilce Portacio","Spawn  #185(October, 2008)",2008
Fist,James Tarleton,Fist,,Secret,Good,Weapon Zero,,Male,"5' 8""",140  lbs (64 kg),Brown,Black,Single,Mutated by T'srri,"Joe Benitez,  Marc Silvestri","Weapon Zero  #T-3(August, 1995)",1995
Razor,Janine Fulton,Razor,Razer,Secret,Bad,The MERCsStormWatch (formerly),,Female,,,Green,Red,,,"Jim Lee,  Brandon Choi","StormWatch  #1(March, 1993)",1993
Hexon,Jason Thibodeaux,Hexon,,,Bad,,,Male,,,White,Red,Single,,"Jim Lee,  Brandon Choi","StormWatch  #0(August, 1993)",1993
Jason Wynn,Jason Wynn,,,Secret,Bad,Central Intelligence Agency,,Male,,,Brown,Black,,,"Todd McFarlane,  Alan B. McElroy",Todd McFarlane's Spawn Season 1 1,
Brahma,Jeff Kessler,Brahma,,Public,,"Youngblood; formerly Bloodpool, The Four","Jillian Kessler (mother, deceased), Arthur Kessler (father)",Male,"7' 3""",950  lbs (432 kg),,Blond,Single,Nu-Gene Mutant,Rob Liefeld,"Youngblood  #1(April, 1992)",1992
Shaft,Jeff Terrell,Shaft,,Public,Good,Youngblood; formerly FBI,Nathan Terrell (father),Male,"6' 0""",185  lbs (84 kg),Blue,Red,Single,Human,Rob Liefeld,"Youngblood  #1(April, 1992)",1992
Rebound,Jen Lyter,Rebound,,Secret,Bad,ShadowHawkBlacklight,,Female,"5' 7""",123  lbs (56 kg),,,Single,,"Scott Wherle,  Ted Wing III","ShadowHawk #7 (November, 2005)",2005
